Order_ID,Gender_Category,Product_Line,Product_Name,Size,Units_Sold,MRP,Discount_Applied,Revenue,Order_Date,Sales_Channel,Region,Profit,Revenue_recalc,is_return,year,month,day,day_of_week,profit_margin,revenue_per_unit
2015,Kids,Basketball,Air Jordan,M,2,3285.52,0.00,0.00,2025-05-31,Retail,Kolkata,1193.21,6571.04,False,2025,5,31,Saturday,0.18,3285.52
2016,Women,Basketball,Air Jordan,M,1,9871.75,0.30,6910.22,2025-04-19,Retail,Hyderabad,2452.69,6910.22,False,2025,4,19,Saturday,0.35,6910.22
2017,Women,Basketball,Air Jordan,M,4,6077.13,0.00,0.00,2025-03-17,Retail,Delhi,1946.24,24308.52,False,2025,3,17,Monday,0.08,6077.13
2022,Women,Soccer,Premier III,M,1,7200.68,0.00,0.00,2024-09-24,Online,Pune,3427.16,7200.68,False,2024,9,24,Tuesday,0.48,7200.68
2023,Men,Lifestyle,Waffle One,M,3,5003.95,0.00,0.00,2025-10-01,Online,Mumbai,1498.37,15011.85,False,2025,10,1,Wednesday,0.10,5003.95
2025,Women,Basketball,Kyrie Flytrap,M,3,9820.50,0.00,0.00,2024-09-10,Retail,Mumbai,1900.15,29461.50,False,2024,9,10,Tuesday,0.06,9820.50
2026,Kids,Lifestyle,Blazer Mid,XL,1,6624.38,0.16,0.00,2024-08-10,Retail,Kolkata,2301.64,5564.47,False,2024,8,10,Saturday,0.41,5564.47
2027,Men,Basketball,Zoom Freak,XL,3,2913.15,0.22,0.00,2024-09-21,Online,Pune,-138.74,6816.77,False,2024,9,21,Saturday,-0.02,2272.26
2028,Men,Training,Flex Trainer,XL,2,3270.23,0.00,0.00,2024-10-14,Retail,Delhi,-946.86,8175.57,False,2024,10,14,Monday,-0.12,4087.79
2030,Men,Soccer,Phantom GT,XL,2,4575.70,0.00,0.00,2025-07-14,Retail,Hyderabad,-122.93,9151.40,False,2025,7,14,Monday,-0.01,4575.70
2031,Men,Soccer,Premier III,L,4,3493.04,0.82,2514.99,2024-05-09,Online,Delhi,350.70,2514.99,False,2024,5,9,Thursday,0.14,628.75
2032,Women,Lifestyle,Blazer Mid,XL,1,6469.59,0.00,0.00,2025-11-04,Retail,Mumbai,-555.16,6469.59,False,2025,11,4,Tuesday,-0.09,6469.59
2034,Men,Basketball,Air Jordan,S,3,6235.71,0.00,0.00,2025-04-30,Retail,Delhi,-267.37,18707.13,False,2025,4,30,Wednesday,-0.01,6235.71
2035,Kids,Basketball,Zoom Freak,L,4,3432.35,0.38,0.00,2024-11-17,Online,Bangalore,2914.83,8512.23,False,2024,11,17,Sunday,0.34,2128.06
2036,Men,Training,Metcon 7,XL,3,2855.37,0.00,0.00,2025-02-15,Retail,Bangalore,-143.80,8566.11,False,2025,2,15,Saturday,-0.02,2855.37
2037,Kids,Running,Pegasus Turbo,S,3,5653.14,0.00,16959.42,2024-08-19,Retail,Pune,2776.96,16959.42,False,2024,8,19,Monday,0.16,5653.14
2039,Women,Training,Flex Trainer,M,4,2767.70,0.63,0.00,2025-04-22,Retail,Hyderabad,-336.30,4096.20,False,2025,4,22,Tuesday,-0.08,1024.05
2002,Women,Basketball,Zoom Freak,XL,3,5075.22,0.00,0.00,2025-07-03,Retail,Delhi,145.08,15225.66,False,2025,7,3,Thursday,0.01,5075.22
2041,Kids,Soccer,Tiempo Legend,XL,4,5553.88,0.00,0.00,2025-03-05,Online,Hyderabad,2371.66,22215.52,False,2025,3,5,Wednesday,0.11,5553.88
2042,Women,Basketball,Kyrie Flytrap,L,3,6175.84,0.00,0.00,2025-04-19,Online,Hyderabad,-862.16,18527.52,False,2025,4,19,Saturday,-0.05,6175.84
2044,Kids,Training,SuperRep Go,M,3,6252.51,0.00,0.00,2023-09-06,Online,Delhi,2174.71,18757.53,False,2023,9,6,Wednesday,0.12,6252.51
2045,Kids,Lifestyle,Dunk Low,XL,4,5740.59,0.00,0.00,2025-04-06,Retail,Delhi,1833.94,22962.38,False,2025,4,6,Sunday,0.08,5740.59
2046,Kids,Running,Air Zoom,XL,1,6077.13,0.00,0.00,2024-02-13,Online,Kolkata,1284.33,9115.69,False,2024,2,13,Tuesday,0.14,9115.69
2047,Women,Training,SuperRep Go,L,1,8577.75,0.00,0.00,2024-06-13,Retail,Bangalore,2888.68,8577.75,False,2024,6,13,Thursday,0.34,8577.75
2049,Kids,Soccer,Tiempo Legend,L,1,7767.20,0.00,0.00,2024-09-01,Retail,Pune,311.48,7767.20,False,2024,9,1,Sunday,0.04,7767.20
2050,Men,Running,Air Zoom,L,1,3923.39,0.57,0.00,2024-02-13,Retail,Kolkata,682.12,1687.06,False,2024,2,13,Tuesday,0.40,1687.06
2051,Women,Basketball,Air Jordan,XL,3,6077.13,0.37,0.00,2024-01-05,Retail,Delhi,3135.98,11485.78,False,2024,1,5,Friday,0.27,3828.59
2052,Men,Training,Flex Trainer,L,3,9155.96,0.00,0.00,2024-10-08,Retail,Pune,2184.80,27467.88,False,2024,10,8,Tuesday,0.08,9155.96
2053,Men,Lifestyle,Air Force 1,XL,3,6009.58,0.00,0.00,2024-10-02,Online,Delhi,3384.92,18028.74,False,2024,10,2,Wednesday,0.19,6009.58
2055,Men,Basketball,Kyrie Flytrap,L,3,6077.13,0.00,0.00,2024-10-26,Online,Hyderabad,-1078.76,18231.39,False,2024,10,26,Saturday,-0.06,6077.13
2056,Men,Running,React Infinity,L,3,8561.18,0.00,0.00,2024-05-31,Retail,Bangalore,-244.44,25683.54,False,2024,5,31,Friday,-0.01,8561.18
2048,Men,Lifestyle,Waffle One,M,3,6216.29,0.94,1118.93,2024-09-14,Online,Mumbai,-642.02,1118.93,False,2024,9,14,Saturday,-0.57,372.98
2058,Women,Training,Flex Trainer,L,2,4985.92,0.00,0.00,2025-01-03,Online,Kolkata,361.54,9971.84,False,2025,1,3,Friday,0.04,4985.92
2060,Men,Lifestyle,Waffle One,L,2,7979.26,0.00,0.00,2024-07-11,Online,Bangalore,2821.59,15958.52,False,2024,7,11,Thursday,0.18,7979.26
2061,Women,Basketball,LeBron 20,L,3,4670.69,0.00,0.00,2024-10-09,Online,Mumbai,-501.68,14012.07,False,2024,10,9,Wednesday,-0.04,4670.69
2062,Men,Basketball,Air Jordan,L,2,6102.57,0.00,0.00,2025-06-06,Online,Bangalore,1823.91,12205.14,False,2025,6,6,Friday,0.15,6102.57
2063,Women,Basketball,Air Jordan,M,1,9751.00,0.16,8190.84,2024-06-09,Retail,Pune,1130.31,8190.84,False,2024,6,9,Sunday,0.14,8190.84
2064,Kids,Running,React Infinity,L,2,7557.71,0.00,0.00,2025-03-02,Online,Bangalore,3277.44,15115.42,False,2025,3,2,Sunday,0.22,7557.71
2065,Women,Lifestyle,Waffle One,L,1,4492.46,0.78,0.00,2024-02-11,Retail,Hyderabad,21.58,988.34,False,2024,2,11,Sunday,0.02,988.34
2067,Kids,Basketball,LeBron 20,L,4,3588.38,0.00,0.00,2025-06-05,Online,Kolkata,161.50,14353.52,False,2025,6,5,Thursday,0.01,3588.38
2068,Men,Running,Free RN,L,4,2553.29,0.00,0.00,2024-12-05,Retail,Mumbai,984.90,10213.16,False,2024,12,5,Thursday,0.10,2553.29
2069,Women,Training,SuperRep Go,L,4,7502.24,0.00,0.00,2025-07-14,Online,Pune,3554.58,30008.96,False,2025,7,14,Monday,0.12,7502.24
2070,Kids,Running,React Infinity,L,3,7170.91,0.00,0.00,2024-10-01,Retail,Mumbai,1112.43,21512.73,False,2024,10,1,Tuesday,0.05,7170.91
2071,Kids,Lifestyle,Blazer Mid,M,3,7849.81,0.49,12010.21,2025-01-12,Retail,Pune,-882.96,12010.21,False,2025,1,12,Sunday,-0.07,4003.40
2072,Men,Training,Flex Trainer,L,3,6473.43,0.00,0.00,2024-10-09,Retail,Pune,3639.20,19420.29,False,2024,10,9,Wednesday,0.19,6473.43
2073,Women,Lifestyle,Blazer Mid,XL,4,6077.13,0.85,0.00,2024-03-11,Online,Hyderabad,443.86,3646.28,False,2024,3,11,Monday,0.12,911.57
2075,Kids,Basketball,Air Jordan,L,4,4251.74,0.00,0.00,2025-07-14,Online,Pune,2345.35,17006.96,False,2025,7,14,Monday,0.14,4251.74
2076,Women,Training,ZoomX Invincible,L,2,5962.56,0.00,0.00,2024-10-13,Retail,Bangalore,2011.25,14906.40,False,2024,10,13,Sunday,0.13,7453.20
2077,Men,Training,ZoomX Invincible,L,2,6186.30,0.00,0.00,2023-11-21,Online,Pune,3332.66,12372.60,False,2023,11,21,Tuesday,0.27,6186.30
2080,Men,Lifestyle,Blazer Mid,L,1,3510.45,0.00,0.00,2025-03-31,Online,Bangalore,-1005.89,5265.68,False,2025,3,31,Monday,-0.19,5265.68
2081,Men,Training,ZoomX Invincible,L,4,5888.37,0.00,0.00,2024-12-21,Online,Mumbai,2810.49,23553.48,False,2024,12,21,Saturday,0.12,5888.37
2083,Men,Running,Free RN,L,2,9291.74,0.00,0.00,2024-10-14,Retail,Delhi,-981.21,18583.48,False,2024,10,14,Monday,-0.05,9291.74
2084,Men,Training,Metcon 7,M,2,5239.61,0.00,0.00,2023-12-24,Online,Mumbai,408.39,10479.22,False,2023,12,24,Sunday,0.04,5239.61
2085,Men,Basketball,Kyrie Flytrap,L,4,7561.85,0.00,0.00,2024-12-17,Retail,Kolkata,98.72,30247.40,False,2024,12,17,Tuesday,0.00,7561.85
2087,Kids,Basketball,Zoom Freak,L,2,4656.28,0.00,0.00,2024-11-01,Online,Kolkata,3777.50,11640.70,False,2024,11,1,Friday,0.32,5820.35
2088,Women,Running,Free RN,XL,4,3554.76,0.00,0.00,2025-04-26,Online,Bangalore,2702.93,14219.04,False,2025,4,26,Saturday,0.19,3554.76
2089,Women,Training,Flex Trainer,L,2,6874.77,0.60,5499.82,2024-02-12,Online,Mumbai,-1076.66,5499.82,False,2024,2,12,Monday,-0.20,2749.91
2090,Kids,Lifestyle,Dunk Low,M,4,6077.13,0.00,0.00,2024-07-26,Retail,Bangalore,163.15,24308.52,False,2024,7,26,Friday,0.01,6077.13
2091,Kids,Running,Air Zoom,L,1,9246.88,0.00,0.00,2024-10-01,Retail,Mumbai,1917.55,9246.88,False,2024,10,1,Tuesday,0.21,9246.88
2092,Kids,Basketball,Zoom Freak,XL,2,6887.39,0.00,0.00,2024-05-19,Online,Delhi,207.20,13774.78,False,2024,5,19,Sunday,0.02,6887.39
2094,Kids,Training,Flex Trainer,L,1,4276.36,0.00,0.00,2024-10-11,Retail,Delhi,2974.58,4276.36,False,2024,10,11,Friday,0.70,4276.36
2095,Men,Lifestyle,Waffle One,M,3,6140.70,0.00,0.00,2024-10-16,Online,Delhi,880.57,18422.10,False,2024,10,16,Wednesday,0.05,6140.70
2096,Men,Running,Pegasus Turbo,XL,2,6077.13,0.00,0.00,2024-12-24,Online,Kolkata,288.66,12154.26,False,2024,12,24,Tuesday,0.02,6077.13
2097,Women,Training,ZoomX Invincible,XL,2,7978.89,0.00,0.00,2024-12-21,Online,Bangalore,769.05,15957.78,False,2024,12,21,Saturday,0.05,7978.89
2098,Men,Training,ZoomX Invincible,L,2,5690.69,0.69,0.00,2024-01-24,Online,Hyderabad,98.30,3528.23,False,2024,1,24,Wednesday,0.03,1764.11
2099,Kids,Soccer,Mercurial Superfly,M,2,6056.88,0.32,0.00,2025-01-02,Retail,Mumbai,360.97,8237.36,False,2025,1,2,Thursday,0.04,4118.68
2100,Kids,Soccer,Phantom GT,M,1,5937.52,0.00,0.00,2025-07-11,Retail,Mumbai,2287.57,5937.52,False,2025,7,11,Friday,0.39,5937.52
2104,Men,Basketball,Kyrie Flytrap,L,1,7352.44,0.00,0.00,2024-05-19,Retail,Delhi,2905.91,7352.44,False,2024,5,19,Sunday,0.40,7352.44
2105,Kids,Training,Metcon 7,L,2,5744.70,0.00,0.00,2024-11-17,Retail,Mumbai,1716.04,11489.40,False,2024,11,17,Sunday,0.15,5744.70
2106,Women,Running,Free RN,L,2,6178.39,0.00,0.00,2024-12-24,Retail,Bangalore,76.95,12356.78,False,2024,12,24,Tuesday,0.01,6178.39
2107,Women,Running,React Infinity,M,4,9625.95,0.00,0.00,2024-08-30,Online,Hyderabad,-184.69,38503.82,False,2024,8,30,Friday,-0.00,9625.95
2108,Kids,Lifestyle,Air Force 1,XL,1,6077.13,0.27,0.00,2024-11-15,Retail,Mumbai,-338.77,4436.30,False,2024,11,15,Friday,-0.08,4436.30
2110,Kids,Running,Air Zoom,XL,1,9264.49,0.42,0.00,2024-12-25,Retail,Pune,-259.29,5373.40,False,2024,12,25,Wednesday,-0.05,5373.40
2111,Men,Lifestyle,Waffle One,L,2,5358.97,0.00,0.00,2024-11-21,Retail,Bangalore,1326.67,10717.94,False,2024,11,21,Thursday,0.12,5358.97
2112,Women,Training,Metcon 7,M,3,2201.54,0.00,0.00,2024-12-21,Retail,Bangalore,697.42,6604.62,False,2024,12,21,Saturday,0.11,2201.54
2113,Women,Basketball,Air Jordan,XL,2,3939.34,0.00,0.00,2023-12-19,Retail,Pune,2918.93,7878.68,False,2023,12,19,Tuesday,0.37,3939.34
2115,Kids,Soccer,Phantom GT,S,2,7607.45,0.00,0.00,2024-08-22,Online,Kolkata,1969.03,15214.90,False,2024,8,22,Thursday,0.13,7607.45
2116,Women,Basketball,LeBron 20,L,2,4038.32,0.00,0.00,2024-08-27,Online,Hyderabad,2088.55,8076.64,False,2024,8,27,Tuesday,0.26,4038.32
2118,Kids,Basketball,Zoom Freak,XL,2,8426.54,0.00,0.00,2023-09-21,Online,Hyderabad,2696.85,16853.08,False,2023,9,21,Thursday,0.16,8426.54
2120,Men,Soccer,Phantom GT,XL,2,7120.57,0.00,0.00,2024-12-14,Retail,Pune,-328.00,14241.14,False,2024,12,14,Saturday,-0.02,7120.57
2123,Men,Running,Air Zoom,L,2,2943.44,0.00,0.00,2024-09-15,Retail,Hyderabad,2195.52,5886.88,False,2024,9,15,Sunday,0.37,2943.44
2124,Kids,Basketball,Kyrie Flytrap,L,1,6436.11,0.00,0.00,2025-04-07,Online,Kolkata,432.04,6436.11,False,2025,4,7,Monday,0.07,6436.11
2125,Women,Soccer,Tiempo Legend,M,3,4957.93,0.00,0.00,2024-10-12,Retail,Hyderabad,1051.22,14873.79,False,2024,10,12,Saturday,0.07,4957.93
2128,Women,Basketball,LeBron 20,L,2,8750.71,0.00,0.00,2025-05-26,Retail,Bangalore,1411.29,17501.42,False,2025,5,26,Monday,0.08,8750.71
2129,Men,Basketball,Zoom Freak,M,3,6377.88,0.00,0.00,2024-05-19,Retail,Delhi,841.40,19133.62,False,2024,5,19,Sunday,0.04,6377.88
2130,Men,Soccer,Premier III,L,3,7264.55,0.24,0.00,2024-09-14,Online,Bangalore,2962.75,16563.17,False,2024,9,14,Saturday,0.18,5521.06
2131,Kids,Running,Free RN,XL,4,5561.82,0.00,0.00,2024-10-01,Retail,Mumbai,2227.48,22247.28,False,2024,10,1,Tuesday,0.10,5561.82
2132,Men,Running,Free RN,L,2,8124.38,0.00,0.00,2025-04-07,Online,Delhi,3882.22,16248.76,False,2025,4,7,Monday,0.24,8124.38
2133,Men,Training,Metcon 7,XL,3,6789.53,0.00,0.00,2024-10-10,Retail,Pune,-166.81,20368.59,False,2024,10,10,Thursday,-0.01,6789.53
2134,Men,Training,ZoomX Invincible,M,2,4738.62,0.00,0.00,2024-06-08,Online,Hyderabad,1009.28,9477.24,False,2024,6,8,Saturday,0.11,4738.62
2135,Men,Basketball,Zoom Freak,L,2,9106.61,0.74,4735.44,2024-11-03,Retail,Hyderabad,2422.38,4735.44,False,2024,11,3,Sunday,0.51,2367.72
2136,Kids,Training,ZoomX Invincible,L,1,5474.79,0.00,0.00,2024-09-15,Online,Pune,3672.24,5474.79,False,2024,9,15,Sunday,0.67,5474.79
2138,Men,Running,Pegasus Turbo,L,2,8055.20,0.00,0.00,2025-06-14,Online,Mumbai,1840.09,16110.40,False,2025,6,14,Saturday,0.11,8055.20
2139,Women,Basketball,Air Jordan,M,3,5663.94,0.00,0.00,2025-06-19,Retail,Mumbai,-334.52,16991.82,False,2025,6,19,Thursday,-0.02,5663.94
2140,Men,Basketball,Zoom Freak,M,2,6765.74,0.00,0.00,2025-04-28,Online,Bangalore,-875.45,13531.48,False,2025,4,28,Monday,-0.06,6765.74
2141,Kids,Soccer,Tiempo Legend,L,3,7155.10,0.00,0.00,2023-11-22,Retail,Kolkata,-1032.47,21465.30,False,2023,11,22,Wednesday,-0.05,7155.10
2142,Kids,Soccer,Mercurial Superfly,M,2,7670.57,0.00,0.00,2024-10-03,Retail,Kolkata,-995.59,15341.14,False,2024,10,3,Thursday,-0.06,7670.57
2144,Women,Lifestyle,Waffle One,L,4,7203.25,0.00,0.00,2025-03-30,Online,Kolkata,2385.10,28813.00,False,2025,3,30,Sunday,0.08,7203.25
2146,Kids,Basketball,Air Jordan,XL,3,6077.13,0.00,0.00,2025-02-15,Retail,Mumbai,-908.85,18231.39,False,2025,2,15,Saturday,-0.05,6077.13
2148,Men,Basketball,Kyrie Flytrap,L,3,6077.13,0.00,0.00,2025-06-19,Online,Hyderabad,520.55,18231.39,False,2025,6,19,Thursday,0.03,6077.13
2149,Women,Running,Pegasus Turbo,L,2,4809.50,0.00,0.00,2025-05-20,Online,Kolkata,-595.69,9619.00,False,2025,5,20,Tuesday,-0.06,4809.50
2150,Women,Basketball,LeBron 20,M,2,3313.21,0.48,3445.74,2025-06-07,Online,Bangalore,3221.62,3445.74,False,2025,6,7,Saturday,0.93,1722.87
2151,Kids,Soccer,Tiempo Legend,L,4,5619.75,0.00,0.00,2025-05-27,Online,Bangalore,2000.85,22479.00,False,2025,5,27,Tuesday,0.09,5619.75
2152,Women,Running,Free RN,M,4,3554.76,0.00,0.00,2024-12-24,Online,Bangalore,3819.41,14219.04,False,2024,12,24,Tuesday,0.27,3554.76
2154,Kids,Lifestyle,Blazer Mid,XL,1,2963.16,0.00,0.00,2025-04-01,Online,Bangalore,2381.85,4444.74,False,2025,4,1,Tuesday,0.54,4444.74
2155,Men,Soccer,Phantom GT,L,3,6489.35,0.00,0.00,2024-01-09,Online,Hyderabad,1475.15,19468.05,False,2024,1,9,Tuesday,0.08,6489.35
2157,Kids,Soccer,Premier III,M,1,3129.89,0.00,0.00,2025-04-29,Online,Delhi,-701.01,3129.89,False,2025,4,29,Tuesday,-0.22,3129.89
2159,Women,Training,ZoomX Invincible,XL,2,3987.65,0.00,0.00,2024-10-14,Retail,Delhi,2781.72,7975.30,False,2024,10,14,Monday,0.35,3987.65
2160,Kids,Running,Air Zoom,XL,1,9246.88,0.00,0.00,2025-03-01,Retail,Mumbai,3744.91,9246.88,False,2025,3,1,Saturday,0.40,9246.88
2162,Men,Lifestyle,Blazer Mid,M,4,7662.11,0.00,0.00,2024-10-13,Online,Mumbai,2398.55,30648.44,False,2024,10,13,Sunday,0.08,7662.11
2163,Men,Lifestyle,Dunk Low,S,2,8696.98,0.00,0.00,2025-03-06,Retail,Hyderabad,3344.98,21742.44,False,2025,3,6,Thursday,0.15,10871.22
2165,Kids,Training,SuperRep Go,L,4,4577.65,0.00,0.00,2024-11-11,Retail,Kolkata,2460.19,18310.60,False,2024,11,11,Monday,0.13,4577.65
2166,Women,Lifestyle,Air Force 1,M,3,7312.38,0.00,0.00,2025-01-02,Online,Mumbai,3364.05,21937.14,False,2025,1,2,Thursday,0.15,7312.38
2167,Men,Running,React Infinity,XL,3,3055.79,0.00,0.00,2024-10-01,Retail,Mumbai,1259.58,9167.37,False,2024,10,1,Tuesday,0.14,3055.79
2169,Kids,Training,Flex Trainer,L,4,4046.05,0.01,16022.36,2024-12-14,Retail,Delhi,1057.58,16022.36,False,2024,12,14,Saturday,0.07,4005.59
2022,Women,Lifestyle,Air Force 1,L,1,9378.52,0.00,0.00,2023-10-29,Retail,Mumbai,128.92,9378.52,False,2023,10,29,Sunday,0.01,9378.52
2172,Women,Training,ZoomX Invincible,M,2,7988.99,0.00,0.00,2024-12-17,Online,Bangalore,-909.86,15977.98,False,2024,12,17,Tuesday,-0.06,7988.99
2174,Women,Soccer,Phantom GT,L,2,3883.92,0.00,0.00,2024-09-01,Retail,Pune,428.50,7767.84,False,2024,9,1,Sunday,0.06,3883.92
2175,Women,Lifestyle,Blazer Mid,L,3,6077.13,0.00,0.00,2024-04-11,Online,Pune,2457.78,18231.39,False,2024,4,11,Thursday,0.13,6077.13
2176,Men,Soccer,Mercurial Superfly,M,4,6918.96,0.00,0.00,2025-04-01,Online,Bangalore,3908.28,27675.84,False,2025,4,1,Tuesday,0.14,6918.96
2177,Women,Lifestyle,Waffle One,XL,2,7922.86,0.00,0.00,2025-06-27,Retail,Mumbai,885.37,15845.72,False,2025,6,27,Friday,0.06,7922.86
2178,Men,Running,Free RN,L,1,6077.13,0.00,0.00,2024-10-28,Retail,Bangalore,-983.37,6077.13,False,2024,10,28,Monday,-0.16,6077.13
2179,Women,Training,ZoomX Invincible,M,3,6121.27,0.00,0.00,2024-01-26,Retail,Pune,3135.92,18363.80,False,2024,1,26,Friday,0.17,6121.27
2180,Women,Basketball,LeBron 20,XL,3,7881.81,0.00,0.00,2024-05-15,Online,Pune,2189.84,23645.43,False,2024,5,15,Wednesday,0.09,7881.81
2181,Women,Lifestyle,Air Force 1,XL,2,6125.15,0.00,0.00,2025-01-06,Retail,Delhi,419.58,12250.30,False,2025,1,6,Monday,0.03,6125.15
2182,Kids,Basketball,Zoom Freak,L,3,7214.55,0.00,0.00,2024-09-10,Online,Mumbai,-662.77,21643.65,False,2024,9,10,Tuesday,-0.03,7214.55
2183,Kids,Lifestyle,Waffle One,M,1,5389.56,0.00,0.00,2024-04-11,Online,Pune,2927.93,5389.56,False,2024,4,11,Thursday,0.54,5389.56
2184,Men,Soccer,Mercurial Superfly,XL,4,6077.13,0.00,0.00,2024-01-09,Retail,Hyderabad,1980.73,24308.52,False,2024,1,9,Tuesday,0.08,6077.13
2185,Women,Training,ZoomX Invincible,XL,4,4207.44,0.59,6900.20,2025-06-08,Online,Kolkata,-615.48,6900.20,False,2025,6,8,Sunday,-0.09,1725.05
2187,Men,Running,React Infinity,L,3,7795.32,0.00,0.00,2024-09-11,Online,Mumbai,2402.99,23385.96,False,2024,9,11,Wednesday,0.10,7795.32
2190,Kids,Basketball,Kyrie Flytrap,L,4,4280.01,0.66,0.00,2024-05-19,Online,Delhi,1949.77,5820.81,False,2024,5,19,Sunday,0.33,1455.20
2191,Men,Lifestyle,Air Force 1,M,3,8828.67,0.00,0.00,2024-09-28,Retail,Pune,-1032.88,26486.01,False,2024,9,28,Saturday,-0.04,8828.67
2194,Men,Soccer,Mercurial Superfly,M,1,6196.01,0.00,0.00,2024-10-27,Online,Hyderabad,926.03,6196.01,False,2024,10,27,Sunday,0.15,6196.01
2195,Women,Training,SuperRep Go,L,3,2527.28,0.51,0.00,2024-10-14,Online,Delhi,1041.81,3715.11,False,2024,10,14,Monday,0.28,1238.37
2196,Kids,Soccer,Premier III,L,2,2708.73,0.00,0.00,2025-06-30,Online,Delhi,925.63,5417.46,False,2025,6,30,Monday,0.17,2708.73
2197,Kids,Training,ZoomX Invincible,L,3,7882.99,0.00,0.00,2024-10-06,Online,Bangalore,-418.50,23648.96,False,2024,10,6,Sunday,-0.02,7882.99
2198,Men,Training,SuperRep Go,S,4,3782.59,0.65,0.00,2025-01-05,Online,Pune,-169.33,5295.63,False,2025,1,5,Sunday,-0.03,1323.91
2199,Men,Soccer,Premier III,M,1,6908.65,0.00,0.00,2024-08-22,Retail,Kolkata,389.94,6908.65,False,2024,8,22,Thursday,0.06,6908.65
2200,Men,Basketball,Air Jordan,M,3,5570.72,0.00,0.00,2024-05-19,Online,Delhi,1513.76,16712.16,False,2024,5,19,Sunday,0.09,5570.72
2201,Women,Training,SuperRep Go,L,3,6676.24,0.00,0.00,2024-05-10,Online,Mumbai,1403.56,23366.82,False,2024,5,10,Friday,0.06,7788.94
2204,Men,Basketball,LeBron 20,S,1,7660.41,0.00,0.00,2025-05-17,Online,Delhi,2076.75,7660.41,False,2025,5,17,Saturday,0.27,7660.41
2206,Men,Training,Flex Trainer,M,2,7730.77,0.00,0.00,2024-10-14,Online,Delhi,-524.85,15461.54,False,2024,10,14,Monday,-0.03,7730.77
2207,Women,Running,Pegasus Turbo,XL,3,2828.36,0.00,0.00,2025-01-23,Online,Hyderabad,2101.41,8485.08,False,2025,1,23,Thursday,0.25,2828.36
2208,Women,Basketball,LeBron 20,M,2,5172.62,0.97,0.00,2025-04-19,Retail,Hyderabad,-1074.04,310.36,False,2025,4,19,Saturday,-3.46,155.18
2209,Kids,Training,SuperRep Go,L,3,6077.13,0.00,0.00,2024-09-01,Retail,Hyderabad,1956.70,18231.39,False,2024,9,1,Sunday,0.11,6077.13
2210,Men,Lifestyle,Blazer Mid,XL,1,9117.41,0.00,0.00,2024-09-08,Retail,Kolkata,701.02,9117.41,False,2024,9,8,Sunday,0.08,9117.41
2212,Women,Lifestyle,Blazer Mid,L,2,7670.82,0.00,0.00,2024-09-23,Online,Kolkata,-87.95,15341.64,False,2024,9,23,Monday,-0.01,7670.82
2213,Women,Running,Air Zoom,M,4,5714.92,0.00,0.00,2025-04-07,Online,Delhi,3741.14,22859.68,False,2025,4,7,Monday,0.16,5714.92
2214,Men,Basketball,LeBron 20,XL,2,5016.03,0.00,0.00,2024-09-10,Retail,Mumbai,1446.00,10032.06,False,2024,9,10,Tuesday,0.14,5016.03
